"INEGI","Estado","Municipio","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"20399","Oaxaca","Santa María Atzompa","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20400","Oaxaca","Santa María Camotlán","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20401","Oaxaca","Santa María Colotepec","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20402","Oaxaca","Santa María Cortijo","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20403","Oaxaca","Santa María Coyotepec","PRI","PRI","PAN","PAN","PAN","Usos y costumbres","Usos y costumbres","Usos y costumbres","PRD","PRD","PRD","PUP","PUP","PUP","PAN_PRD_PT","PAN_PRD_PT","PAN_PRD_PT","PT","PT","PAN_PRD_MC"
"20404","Oaxaca","Santa María Chachoápam","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20405","Oaxaca","Villa de Chilapa de Díaz","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20406","Oaxaca","Santa María Chilchotla","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20407","Oaxaca","Santa María Chimalapa","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20408","Oaxaca","Santa María del Rosario","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
"20409","Oaxaca","Santa María del Tule","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres","Usos y costumbres"
